2 cores,3 cores,4 cores,5 cores,6 cores,7 cores,8 cores
5.211552858352661,5.2006189823150635,5.209285020828247,5.349833726882935,5.336078882217407,5.305667161941528,5.306903123855591
5.215631008148193,5.204314708709717,5.194556951522827,5.304730653762817,5.32442307472229,5.306740760803223,5.310592412948608
5.206841707229614,5.183690071105957,5.312701940536499,5.3244733810424805,5.344496250152588,5.307917594909668,5.301648139953613
5.206058979034424,5.20252537727356,5.360655307769775,5.341017961502075,5.327371597290039,5.305056810379028,5.304264783859253
5.20820164680481,5.158907175064087,5.316234350204468,5.348125457763672,5.334894895553589,5.304273843765259,5.3013341426849365
5.212230920791626,5.1617043018341064,5.330645561218262,5.342313289642334,5.386102914810181,5.3046886920928955,5.299165964126587
5.201784133911133,5.1630589962005615,5.334153890609741,5.430002689361572,5.321533918380737,5.301892995834351,5.302218914031982
5.202024459838867,5.195959568023682,5.317488670349121,5.418851375579834,5.333864450454712,5.303267240524292,5.304150819778442
5.200624942779541,5.2049877643585205,5.311590194702148,5.3413190841674805,5.3123884201049805,5.302858829498291,5.302419424057007
5.196167469024658,5.222205877304077,5.342584609985352,5.33258056640625,5.3076560497283936,5.308835029602051,5.300192832946777
