2 cores,3 cores,4 cores,5 cores,6 cores,7 cores,8 cores
2.9908814430236816,1.3103351593017578,1.306030035018921,1.2899601459503174,1.3199410438537598,1.2933602333068848,1.3102686405181885
1.2861707210540771,1.3024876117706299,1.2943341732025146,1.3042759895324707,1.319380521774292,1.3354859352111816,1.3057799339294434
1.2872827053070068,1.3014886379241943,1.2984185218811035,1.3166143894195557,1.3247342109680176,1.3036456108093262,1.3042247295379639
1.2866811752319336,1.305671215057373,1.291618824005127,1.3158409595489502,1.314079761505127,1.302612066268921,1.3007640838623047
1.2860352993011475,1.3184051513671875,1.289318561553955,1.316727876663208,1.3133265972137451,1.306617259979248,1.30196213722229
1.3003020286560059,1.3248350620269775,1.2890872955322266,1.3169727325439453,1.3139379024505615,1.3095040321350098,1.3019733428955078
1.3647637367248535,1.2940618991851807,1.290048360824585,1.3230533599853516,1.3134949207305908,1.3099961280822754,1.301682710647583
1.3080337047576904,1.3151261806488037,1.3113703727722168,1.315885066986084,1.3031995296478271,1.3156483173370361,1.3007330894470215
1.2910680770874023,1.3552324771881104,1.2933125495910645,1.3143270015716553,1.3054521083831787,1.3069729804992676,1.3006069660186768
1.3025641441345215,1.3487188816070557,1.2939155101776123,1.3253684043884277,1.296067476272583,1.294116735458374,1.300112009048462
