2 cores,3 cores,4 cores,5 cores,6 cores,7 cores,8 cores
3.828714609146118,3.373866319656372,3.1198956966400146,3.116771936416626,3.0269124507904053,3.1031861305236816,4.868062257766724
3.7953524589538574,3.3608362674713135,3.041708469390869,3.1208605766296387,3.1792173385620117,3.122154712677002,5.132142543792725
3.8091015815734863,3.440887928009033,3.076693058013916,3.0943472385406494,2.889524221420288,2.916902780532837,4.784044981002808
3.8114380836486816,3.4394571781158447,3.1250226497650146,3.036336660385132,3.161952257156372,3.01922607421875,4.985987901687622
3.807847023010254,3.253204107284546,3.0723040103912354,3.0513670444488525,3.1396636962890625,3.023084878921509,5.0292723178863525
3.7857396602630615,3.334625244140625,3.064094066619873,3.1090211868286133,2.9569668769836426,3.081270217895508,5.343848943710327
3.8339169025421143,3.3554000854492188,3.076840400695801,2.925934314727783,2.9595582485198975,2.8283045291900635,5.340252876281738
3.758460760116577,3.3688018321990967,3.1536736488342285,3.026439905166626,2.942518949508667,3.0255846977233887,5.254982233047485
3.9674601554870605,3.272202730178833,3.0876669883728027,3.0501065254211426,3.0354745388031006,3.042973518371582,5.085314989089966
3.7986972332000732,3.3653199672698975,3.1189370155334473,3.0902466773986816,3.0919246673583984,3.089198350906372,5.24405312538147
