ID,N,Time
0,10,0.0009772777557373047
1,10,0.000997304916381836
2,10,0.000997304916381836
3,10,0.000997781753540039
4,10,0.0009975433349609375
5,10,0.0
6,10,0.0
7,10,0.000997304916381836
8,10,0.0
9,10,0.00096893310546875
0,100,0.2104194164276123
1,100,0.20447611808776855
2,100,0.20844292640686035
3,100,0.2074730396270752
4,100,0.21044254302978516
5,100,0.20846939086914062
6,100,0.20546698570251465
7,100,0.20943260192871094
8,100,0.20548605918884277
9,100,0.2094404697418213
0,1000,214.32974243164062
1,1000,212.048814535141
2,1000,223.88119411468506
3,1000,210.92581057548523
4,1000,210.11897492408752
5,1000,212.7091965675354
6,1000,212.46672534942627
7,1000,214.84146738052368
8,1000,211.86331033706665
9,1000,211.35469770431519
0,10000,268733.0067241192
